Experiment,Total Detections,Avg Conf,Yield Score
g0.8_d0.85_c0.5,1096,0.558,6.114
g0.8_d0.85_c0.3,1094,0.558,6.104
g0.9_d0.85_c0.5,1096,0.557,6.104
g0.7_d0.85_c0.5,1090,0.559,6.09
g0.9_d0.85_c0.3,1092,0.558,6.089
g0.7_d0.85_c0.3,1088,0.558,6.076
g0.6_d0.85_c0.5,1084,0.558,6.05
g0.6_d0.85_c0.3,1085,0.558,6.05
g0.8_d0.9_c0.5,1083,0.558,6.041
g0.9_d0.9_c0.5,1081,0.558,6.03
g0.8_d0.9_c0.3,1074,0.56,6.011
g0.9_d0.9_c0.3,1074,0.559,6.005
g0.5_d0.85_c0.3,1070,0.56,5.989
g0.8_d0.95_c0.5,1073,0.558,5.988
g0.7_d0.9_c0.5,1066,0.562,5.987
g0.9_d0.95_c0.5,1074,0.557,5.981
g0.7_d0.9_c0.3,1064,0.562,5.979
g0.8_d0.95_c0.3,1069,0.558,5.968
g0.5_d0.85_c0.5,1059,0.563,5.961
g0.6_d0.9_c0.3,1064,0.56,5.96
g0.6_d0.9_c0.5,1062,0.561,5.957
g0.9_d0.95_c0.3,1067,0.558,5.952
g0.7_d0.95_c0.5,1058,0.56,5.93
g0.4_d0.85_c0.5,1059,0.56,5.928
g0.8_d1.0_c0.3,1067,0.555,5.925
g0.4_d0.85_c0.3,1059,0.559,5.924
g0.9_d1.0_c0.5,1064,0.557,5.924
g0.8_d1.0_c0.5,1062,0.558,5.923
g0.7_d0.95_c0.3,1058,0.56,5.922
g0.6_d0.95_c0.5,1057,0.559,5.907
g0.9_d1.0_c0.3,1058,0.557,5.896
g0.5_d0.9_c0.3,1051,0.561,5.896
g0.6_d0.95_c0.3,1052,0.56,5.889
g0.5_d0.9_c0.5,1047,0.562,5.888
g0.7_d1.0_c0.5,1048,0.56,5.873
g0.7_d1.0_c0.3,1047,0.56,5.861
g0.5_d0.95_c0.3,1049,0.558,5.849
g0.4_d0.9_c0.3,1048,0.557,5.839
g0.5_d0.95_c0.5,1043,0.56,5.838
g0.6_d1.0_c0.3,1047,0.557,5.835
g0.6_d1.0_c0.5,1044,0.559,5.833
g0.4_d0.9_c0.5,1038,0.561,5.821
g0.5_d1.0_c0.3,1038,0.557,5.78
g0.4_d0.95_c0.5,1035,0.557,5.763
g0.4_d0.95_c0.3,1037,0.555,5.759
g0.5_d1.0_c0.5,1025,0.561,5.751
g0.4_d1.0_c0.3,1034,0.553,5.716
g0.4_d1.0_c0.5,1022,0.557,5.689

BEST IS g0.8_d0.85_c0.5